player_id,name,team,date,season,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,hbp,sf,sb,cs
ruizr002,Rio Ruiz,BAL,,2020,1,5,2,0,1,0,0,0,2,2,0,0,1,1,0
siscc001,Chance Sisco,BAL,,2020,1,5,4,0,1,0,0,0,0,1,3,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,5,5,1,3,1,0,0,1,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,5,0,1,0,0,0,0,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,4,2,2,0,0,1,2,1,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,2,2,0,2,1,0,0,1,0,0,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
haysa001,Austin Hays,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,1,1,0,0,1,1,0,1,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,4,3,1,1,0,0,0,0,1,2,0,0,1,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2020,1,3,3,0,2,0,0,0,0,0,0,0,0,1,0
davic003,Chris Davis,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,3,2,0,0,0,0,0,0,1,2,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,3,1,0,0,0,0,0,0,2,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0
haysa001,Austin Hays,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
davic003,Chris Davis,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,2,2,0,1,1,0,0,0,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,3,3,1,1,0,0,0,0,0,1,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,3,3,0,1,0,0,0,0,0,2,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
haysa001,Austin Hays,BAL,,2020,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,5,5,1,2,1,0,0,0,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,5,1,1,0,1,0,1,0,1,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,4,3,1,1,0,0,1,2,0,1,0,1,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,4,2,2,0,0,2,2,0,1,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,4,3,1,2,1,0,1,1,1,1,0,0,0,0
haysa001,Austin Hays,BAL,,2020,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0
davic003,Chris Davis,BAL,,2020,1,4,4,1,1,1,0,0,0,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,0,1,1,0,0,1,0,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,4,4,1,1,0,0,1,1,0,0,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,4,2,0,0,0,0,0,0,2,1,0,0,0,0
davic003,Chris Davis,BAL,,2020,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
haysa001,Austin Hays,BAL,,2020,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,5,4,1,2,1,0,0,2,0,1,0,1,0,0
santa003,Anthony Santander,BAL,,2020,1,5,3,1,1,0,0,0,0,2,0,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,5,5,1,3,1,0,0,1,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,0,1,1,0,0,2,0,2,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,3,1,1,0,0,1,1,1,1,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,4,4,2,2,0,1,0,1,0,1,0,0,1,0
albeh001,Hanser Alberto,BAL,,2020,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,4,4,2,2,0,0,2,2,0,1,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,3,1,0,0,0,0,0,1,2,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,3,0,1,0,0,0,0,0,1,1,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,4,4,1,1,0,0,0,0,0,3,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,1,3,0,0,1,3,0,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0
davic003,Chris Davis,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,4,4,1,2,1,0,0,0,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,3,2,1,1,0,0,0,0,1,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,5,4,2,1,0,0,1,2,1,2,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,5,2,3,1,0,2,3,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,5,5,1,1,1,0,0,0,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,4,1,1,0,0,0,1,0,2,0,1,0,0
sevep001,Pedro Severino,BAL,,2020,1,5,4,0,2,1,0,0,0,1,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,5,4,0,0,0,0,0,0,1,2,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,2,2,0,1,0,0,0,1,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,5,5,0,2,0,0,0,0,0,1,0,0,1,0
velaa001,Andrew Velazquez,BAL,,2020,1,4,3,1,0,0,0,0,0,1,2,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,5,4,0,0,0,0,0,0,1,1,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,3,0,1,1,0,0,0,2,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,4,0,1,0,0,0,0,0,2,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,1,2,1,0,0,0,0,0,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,0,2,0,0,0,1,0,0,0,0,0,0
davic003,Chris Davis,BAL,,2020,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,4,0,1,0,0,0,0,0,2,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,3,1,1,0,0,1,1,0,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
smitd007,Dwight Smith,BAL,,2020,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,3,3,0,1,0,0,0,0,0,2,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,5,0,1,0,0,0,0,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,5,0,1,0,0,0,0,0,3,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,2,1,1,0,0,0,0,2,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,2,1,0,0,0,0,0,2,1,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,4,4,1,1,0,0,1,3,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,1,1,0,0,1,1,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,4,4,1,3,0,0,1,1,0,0,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,5,4,1,1,0,0,0,0,1,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,4,1,1,0,0,1,2,1,2,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,4,0,2,1,0,0,0,0,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
sevep001,Pedro Severino,BAL,,2020,1,5,5,0,2,0,0,0,1,0,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,3,1,2,0,0,1,1,1,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2020,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,4,3,1,0,0,0,0,0,0,3,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,5,5,0,1,1,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,5,0,1,1,0,0,0,0,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,5,0,1,0,0,0,0,0,2,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,2,1,1,0,0,0,0,2,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,4,2,2,1,0,0,0,0,1,1,1,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,3,1,2,2,0,0,0,1,1,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,4,0,2,1,0,0,4,0,1,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,4,3,0,1,0,0,0,1,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,5,4,1,2,0,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,4,1,2,0,0,1,3,0,0,1,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,5,5,1,2,1,0,0,1,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,5,2,2,0,0,2,4,0,2,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,5,5,0,1,1,0,0,0,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,3,1,1,0,0,0,0,1,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,2,4,1,0,0,1,0,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,4,3,1,1,0,0,0,0,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,5,4,0,1,0,0,0,1,0,1,1,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,5,0,0,0,0,0,0,0,1,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,5,5,0,2,0,0,0,0,0,0,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
herrd002,Dilson Herrera,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,3,1,1,0,1,0,0,1,1,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,4,1,2,0,0,0,1,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,3,1,2,0,0,0,0,1,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,4,3,1,1,0,0,0,0,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,3,3,1,1,0,0,1,1,0,0,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2020,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
santa003,Anthony Santander,BAL,,2020,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,5,4,0,1,0,0,0,0,0,0,1,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,5,5,1,1,0,0,1,1,0,1,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,3,1,1,0,0,0,0,1,0,0,0,1,0
stewd002,DJ Stewart,BAL,,2020,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,2,2,1,1,0,0,1,2,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0
herrd002,Dilson Herrera,BAL,,2020,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,4,4,0,1,0,0,0,0,0,0,0,0,1,0
stewd002,DJ Stewart,BAL,,2020,1,4,1,1,0,0,0,0,0,2,1,1,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,3,3,2,3,0,0,1,3,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,3,0,1,1,0,0,2,0,1,0,0,0,1
herrd002,Dilson Herrera,BAL,,2020,1,3,2,0,0,0,0,0,0,0,2,1,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,4,3,0,0,0,0,0,0,0,2,1,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,4,3,1,1,1,0,0,0,1,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,3,1,0,0,0,0,0,1,2,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,4,1,1,0,0,0,2,0,0,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,4,0,1,1,0,0,2,0,2,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,3,3,2,2,0,0,2,2,0,1,0,0,0,0
willm007,Mason Williams,BAL,,2020,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
albeh001,Hanser Alberto,BAL,,2020,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,4,4,2,2,0,0,1,2,0,1,0,0,0,0
sevep001,Pedro Severino,BAL,,2020,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,4,2,0,0,0,0,0,1,1,1,0,1,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,4,4,1,2,0,0,0,0,0,2,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
willm007,Mason Williams,BAL,,2020,1,4,4,0,0,0,0,0,0,0,3,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,4,3,0,0,0,0,0,1,1,1,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,6,5,3,2,0,0,0,2,1,1,0,0,1,0
iglej001,Jose Iglesias,BAL,,2020,1,4,4,3,4,0,0,1,4,0,0,0,0,0,0
valap001,Pat Valaika,BAL,,2020,1,2,2,1,1,0,0,1,1,0,1,0,0,0,0
stewd002,DJ Stewart,BAL,,2020,1,5,5,1,2,0,0,1,4,0,2,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2020,1,5,5,1,3,0,0,1,3,0,1,0,0,0,0
ruizr002,Rio Ruiz,BAL,,2020,1,5,4,0,0,0,0,0,0,1,1,0,0,0,0
nuner001,Renato Nunez,BAL,,2020,1,4,2,1,1,0,0,0,0,2,0,0,0,0,0
holab001,Bryan Holaday,BAL,,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
siscc001,Chance Sisco,BAL,,2020,1,5,4,0,0,0,0,0,0,1,1,0,0,0,0
haysa001,Austin Hays,BAL,,2020,1,5,4,2,2,0,0,0,0,1,0,0,0,0,0
velaa001,Andrew Velazquez,BAL,,2020,1,5,2,2,0,0,0,0,0,3,2,0,0,0,0
mullc002,Cedric Mullins,BAL,,2020,1,4,4,1,1,1,0,0,0,0,2,0,0,0,0
iglej001,Jose Iglesias,BAL,,2020,1,4,4,0,2,1,0,0,1,0,1,0,0,0,0
