player_id,name,team,date,season,ip_outs,h,r,er,bb,so,hr,bf,hbp,w,l,sv,gs
wilks001,Steve Wilkerson,BAL,,2019,3,0,0,0,0,0,0,3,0,0,0,1,0
yacaj001,Jimmy Yacabonis,BAL,,2019,6,1,1,1,2,1,0,9,0,0,0,0,1
eshet001,Tom Eshelman,BAL,,2019,13,4,1,1,1,2,0,19,1,0,0,0,0
armss001,Shawn Armstrong,BAL,,2019,1,0,2,2,2,0,0,3,0,0,0,0,0
fry-p001,Paul Fry,BAL,,2019,2,2,0,0,1,2,0,5,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,5,1,1,1,0,3,1,6,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,5,0,0,0,2,2,0,7,0,0,0,0,0
bleir001,Richard Bleier,BAL,,2019,1,0,0,0,0,0,0,1,0,0,0,0,0
ynoag001,Gabriel Ynoa,BAL,,2019,9,1,0,0,0,0,0,9,0,0,0,0,0
scott003,Tanner Scott,BAL,,2019,3,2,3,3,3,1,0,7,0,1,0,0,0
wojca001,Asher Wojciechowski,BAL,,2019,21,3,2,2,1,6,1,25,0,1,0,0,1
armss001,Shawn Armstrong,BAL,,2019,3,0,0,0,1,1,0,4,0,0,0,0,0
phile001,Evan Phillips,BAL,,2019,3,2,1,1,0,2,1,5,0,0,0,0,0
brooa001,Aaron Brooks,BAL,,2019,15,7,5,5,1,6,2,23,0,0,0,0,1
castm002,Miguel Castro,BAL,,2019,5,1,1,1,0,2,1,6,0,0,0,0,0
bleir001,Richard Bleier,BAL,,2019,3,0,0,0,0,1,0,3,0,1,0,0,0
givem001,Mychal Givens,BAL,,2019,4,1,1,1,2,2,0,8,0,0,0,1,0
bundd001,Dylan Bundy,BAL,,2019,15,7,4,4,2,3,2,23,0,0,0,0,1
armss001,Shawn Armstrong,BAL,,2019,5,1,0,0,0,0,0,6,0,0,0,0,0
fry-p001,Paul Fry,BAL,,2019,4,0,0,0,0,0,0,4,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,1,1,1,1,0,0,1,2,0,0,1,0,0
brooa001,Aaron Brooks,BAL,,2019,11,9,6,5,1,1,0,21,0,0,1,0,1
ynoag001,Gabriel Ynoa,BAL,,2019,4,2,0,0,1,2,0,7,0,0,0,0,0
klinb001,Branden Kline,BAL,,2019,7,1,0,0,1,1,0,9,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,2,0,0,0,1,2,0,3,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2019,6,0,0,0,0,2,0,6,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,18,4,2,2,3,5,0,23,0,1,0,0,1
bleir001,Richard Bleier,BAL,,2019,3,1,0,0,0,0,0,3,0,0,0,0,0
meanj001,John Means,BAL,,2019,10,6,3,3,3,4,1,19,0,0,1,0,1
ynoag001,Gabriel Ynoa,BAL,,2019,5,0,0,0,2,1,0,8,0,0,0,0,0
bleir001,Richard Bleier,BAL,,2019,3,1,1,1,0,1,1,5,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,1,1,1,1,1,1,0,3,0,0,0,0,0
scott003,Tanner Scott,BAL,,2019,5,3,0,0,1,1,0,8,0,0,0,0,0
cobba001,Alex Cobb,BAL,,2019,17,5,2,2,1,4,2,22,0,0,0,0,1
meanj001,John Means,BAL,,2019,4,0,0,0,1,2,0,6,1,0,0,0,0
givem001,Mychal Givens,BAL,,2019,4,2,2,2,1,1,0,6,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,2,1,1,1,0,0,1,3,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,11,6,3,3,2,2,2,17,0,0,0,0,1
meanj001,John Means,BAL,,2019,3,0,0,0,0,2,0,3,0,0,0,0,0
karnn001,Nate Karns,BAL,,2019,1,3,0,0,0,0,0,5,1,0,0,0,0
fry-p001,Paul Fry,BAL,,2019,7,0,0,0,0,1,0,6,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,5,2,3,3,1,2,1,8,0,0,1,0,0
albeh001,Hanser Alberto,BAL,,2019,3,1,2,2,2,0,1,7,1,0,0,0,0
hessd001,David Hess,BAL,,2019,15,5,4,4,2,2,3,21,0,0,1,0,1
wrigm001,Mike Wright,BAL,,2019,5,4,4,4,3,1,1,11,0,0,0,0,0
strad003,Dan Straily,BAL,,2019,4,5,5,5,2,0,2,11,0,0,0,0,0
casha001,Andrew Cashner,BAL,,2019,16,9,4,3,1,1,2,25,0,1,0,0,1
yacaj001,Jimmy Yacabonis,BAL,,2019,6,2,0,0,1,2,0,9,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,2,0,0,0,0,1,0,2,0,0,0,0,0
karnn001,Nate Karns,BAL,,2019,3,0,0,0,0,0,0,3,0,0,0,0,0
meanj001,John Means,BAL,,2019,9,4,5,1,1,1,1,14,0,0,1,0,1
phile001,Evan Phillips,BAL,,2019,9,1,0,0,1,4,0,11,0,0,0,0,0
bleir001,Richard Bleier,BAL,,2019,4,4,4,4,0,2,1,9,1,0,0,0,0
castm002,Miguel Castro,BAL,,2019,5,5,4,4,1,2,0,11,0,0,0,0,0
strad003,Dan Straily,BAL,,2019,10,8,5,5,0,0,2,17,0,0,1,0,1
rogej003,Josh Rogers,BAL,,2019,11,4,5,5,1,1,3,17,1,0,0,0,0
wrigm001,Mike Wright,BAL,,2019,6,1,0,0,1,3,0,8,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,15,7,6,6,0,8,4,23,1,0,1,0,1
lucaj001,Josh Lucas,BAL,,2019,6,1,1,0,1,1,0,8,0,0,0,0,0
scott003,Tanner Scott,BAL,,2019,1,2,0,0,0,1,0,3,0,0,0,0,0
yacaj001,Jimmy Yacabonis,BAL,,2019,2,0,0,0,0,0,0,2,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,3,1,1,1,0,2,1,4,0,0,0,0,0
strad003,Dan Straily,BAL,,2019,15,6,3,3,3,4,3,24,0,0,0,0,1
yacaj001,Jimmy Yacabonis,BAL,,2019,2,2,3,3,0,0,0,5,1,0,1,0,0
castm002,Miguel Castro,BAL,,2019,4,1,0,0,0,0,0,5,0,0,0,0,0
scott003,Tanner Scott,BAL,,2019,6,0,0,0,0,5,0,6,0,0,0,0,0
davic003,Chris Davis,BAL,,2019,3,2,1,1,0,1,1,5,0,0,0,0,0
cobba001,Alex Cobb,BAL,,2019,8,10,9,9,0,2,3,18,0,0,1,0,1
wrigm001,Mike Wright,BAL,,2019,10,5,4,4,0,2,2,15,0,0,0,0,0
klinb001,Branden Kline,BAL,,2019,6,2,2,2,0,0,2,8,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,18,7,4,2,1,4,0,28,1,0,1,0,1
phile001,Evan Phillips,BAL,,2019,6,1,0,0,2,1,0,8,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,3,1,0,0,0,0,0,4,0,0,0,0,0
hessd001,David Hess,BAL,,2019,15,5,4,4,2,3,1,22,0,0,1,0,1
ynoag001,Gabriel Ynoa,BAL,,2019,3,1,0,0,0,2,0,5,0,0,0,0,0
scott003,Tanner Scott,BAL,,2019,2,4,4,2,0,2,1,7,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,2,5,4,4,2,1,0,9,0,0,0,0,0
yacaj001,Jimmy Yacabonis,BAL,,2019,2,0,0,0,0,1,0,2,0,0,0,0,0
sucrj001,Jesus Sucre,BAL,,2019,3,0,0,0,0,0,0,3,0,0,0,0,0
casha001,Andrew Cashner,BAL,,2019,21,5,1,1,1,5,0,26,0,1,0,0,1
fry-p001,Paul Fry,BAL,,2019,3,0,0,0,0,1,0,3,0,0,0,0,0
ynoag001,Gabriel Ynoa,BAL,,2019,3,1,0,0,0,0,0,3,0,0,0,0,0
meanj001,John Means,BAL,,2019,15,4,1,1,1,6,0,20,0,1,0,0,1
phile001,Evan Phillips,BAL,,2019,2,2,1,1,1,2,0,6,1,0,0,0,0
fry-p001,Paul Fry,BAL,,2019,4,1,0,0,1,1,0,6,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,6,2,1,1,1,1,0,9,0,0,0,1,0
strad003,Dan Straily,BAL,,2019,13,9,5,5,3,2,1,25,0,0,1,0,1
ramiy001,Yefry Ramirez,BAL,,2019,14,3,2,2,3,5,0,18,1,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,22,3,0,0,1,4,0,26,1,1,0,0,1
armss001,Shawn Armstrong,BAL,,2019,2,0,0,0,0,1,0,2,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,3,0,0,0,1,0,0,3,0,0,0,1,0
meanj001,John Means,BAL,,2019,21,3,1,1,0,4,0,24,0,1,0,0,1
fry-p001,Paul Fry,BAL,,2019,2,0,0,0,0,0,0,3,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,4,0,0,0,0,2,0,4,0,0,0,1,0
hessd001,David Hess,BAL,,2019,12,3,3,3,4,5,2,19,0,0,0,0,1
klinb001,Branden Kline,BAL,,2019,3,2,3,3,1,2,1,6,0,0,1,0,0
ynoag001,Gabriel Ynoa,BAL,,2019,9,1,0,0,1,3,0,9,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,3,0,0,0,0,1,0,3,0,0,0,0,0
casha001,Andrew Cashner,BAL,,2019,18,4,1,1,1,5,1,24,0,0,0,0,1
fry-p001,Paul Fry,BAL,,2019,3,1,0,0,0,1,0,4,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,6,2,0,0,2,2,0,8,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2019,6,0,0,0,1,2,0,7,0,0,0,0,0
ramiy001,Yefry Ramirez,BAL,,2019,3,1,1,1,1,1,1,5,0,0,1,0,0
strad003,Dan Straily,BAL,,2019,13,5,6,6,2,4,1,20,1,0,1,0,1
phile001,Evan Phillips,BAL,,2019,5,4,2,2,1,1,0,10,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,9,3,0,0,0,3,0,12,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,15,4,3,3,2,2,2,20,0,0,1,0,1
ynoag001,Gabriel Ynoa,BAL,,2019,2,3,3,3,1,1,0,7,0,0,0,0,0
klinb001,Branden Kline,BAL,,2019,4,0,0,0,0,1,0,5,0,0,0,0,0
yacaj001,Jimmy Yacabonis,BAL,,2019,6,3,1,1,0,3,0,8,0,0,0,0,0
meanj001,John Means,BAL,,2019,18,4,1,1,3,4,1,25,0,1,0,0,1
fry-p001,Paul Fry,BAL,,2019,3,0,0,0,0,0,0,3,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2019,3,0,0,0,1,0,0,3,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,3,0,0,0,0,2,0,3,0,0,0,0,0
casha001,Andrew Cashner,BAL,,2019,18,5,3,3,2,3,1,24,0,0,0,0,1
klinb001,Branden Kline,BAL,,2019,1,2,2,1,1,0,0,4,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2019,4,0,0,0,0,2,0,4,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,4,4,5,5,1,0,2,9,0,0,1,0,0
hessd001,David Hess,BAL,,2019,15,8,9,9,4,5,3,26,0,0,1,0,1
lucaj001,Josh Lucas,BAL,,2019,9,4,2,2,0,5,0,13,0,0,0,0,0
bleir001,Richard Bleier,BAL,,2019,3,0,0,0,0,0,0,3,0,0,0,0,0
strad003,Dan Straily,BAL,,2019,12,8,6,6,3,2,4,22,0,0,1,0,1
ynoag001,Gabriel Ynoa,BAL,,2019,7,3,1,1,0,2,1,10,0,0,0,0,0
klinb001,Branden Kline,BAL,,2019,5,1,0,0,0,2,0,6,0,0,0,0,0
armss001,Shawn Armstrong,BAL,,2019,3,0,0,0,1,0,0,4,0,0,0,0,0
bundd001,Dylan Bundy,BAL,,2019,17,5,3,3,2,5,1,23,0,0,0,0,1
fry-p001,Paul Fry,BAL,,2019,2,1,1,1,1,1,0,4,0,0,0,0,0
castm002,Miguel Castro,BAL,,2019,5,1,1,1,0,0,1,5,0,0,0,0,0
givem001,Mychal Givens,BAL,,2019,3,1,1,1,3,2,0,7,0,0,1,0,0
ynoag001,Gabriel Ynoa,BAL,,2019,12,5,2,2,1,4,0,19,0,0,0,0,1
strad003,Dan Straily,BAL,,2019,12,3,1,1,1,4,0,15,0,1,0,0,0
